Date,Product,Region,Quantity,Unit_Price,Salesperson
2024-09-01,Laptop,North,1,1131.73,Sales_9
2024-03-04,Scanner,Central,2,1170.91,Sales_5
2024-06-17,Mouse,South,15,417.29,Sales_6
2024-09-15,Printer,South,1,1158.95,Sales_6
2024-08-30,Keyboard,Central,14,1009.41,Sales_5
2024-11-29,Printer,East,8,1275.84,Sales_9
2024-10-07,Tablet,South,17,1476.63,Sales_6
2024-09-04,Smartphone,South,2,399.79,Sales_10
2024-02-02,Tablet,South,14,1286.2,Sales_4
2024-06-21,Mouse,West,4,973.51,Sales_8
2024-11-05,Laptop,Central,16,185.29,Sales_8
2024-01-06,Printer,West,12,207.27,Sales_7
2024-10-03,Tablet,South,8,1307.01,Sales_7
2024-10-08,Smartphone,South,5,875.61,Sales_2
2024-04-22,Mouse,North,4,194.99,Sales_9
2024-06-23,Scanner,West,20,85.79,Sales_8
2024-07-11,Mouse,South,7,1433.98,Sales_3
2024-08-28,Smartphone,East,9,211.67,Sales_4
2024-06-14,Keyboard,East,14,275.77,Sales_9
2024-11-15,Tablet,East,18,1090.25,Sales_4
2024-05-29,Keyboard,North,15,119.52,Sales_6
2024-08-21,Monitor,South,1,1420.68,Sales_6
2024-03-16,Printer,South,12,538.82,Sales_2
2024-10-14,Printer,West,12,961.65,Sales_4
2024-04-22,Mouse,East,4,1131.35,Sales_9
2024-02-27,Keyboard,North,4,546.82,Sales_7
2024-11-06,Smartphone,North,16,721.98,Sales_6
2024-07-27,Keyboard,South,12,1400.69,Sales_6
2024-05-14,Scanner,East,16,558.82,Sales_3
2024-01-18,Keyboard,South,5,530.36,Sales_8
2024-09-28,Keyboard,Central,2,499.74,Sales_8
2024-08-19,Monitor,West,10,1410.82,Sales_6
2024-01-27,Monitor,East,5,645.93,Sales_2
2024-06-07,Smartphone,West,13,1108.95,Sales_7
2024-08-24,Tablet,Central,15,614.64,Sales_3
2024-02-01,Printer,West,10,194.04,Sales_8
2024-07-14,Printer,East,4,720.85,Sales_4
2024-11-08,Mouse,Central,20,750.83,Sales_9
2024-05-21,Monitor,East,7,686.29,Sales_8
2024-09-09,Mouse,East,4,769.49,Sales_5
2024-10-03,Tablet,Central,7,1020.75,Sales_3
2024-10-20,Keyboard,North,9,1179.49,Sales_4
2024-10-13,Laptop,West,10,389.61,Sales_9
2024-12-24,Mouse,South,11,72.82,Sales_6
2024-03-11,Keyboard,East,7,494.82,Sales_1
2024-02-11,Tablet,Central,6,188.45,Sales_7
2024-10-11,Printer,East,15,1063.14,Sales_3
2024-01-11,Scanner,East,6,990.97,Sales_7
2024-04-21,Smartphone,Central,3,282.81,Sales_4
2024-09-01,Smartphone,West,20,525.3,Sales_3
2024-11-18,Tablet,Central,3,880.22,Sales_8
2024-04-20,Printer,Central,11,725.56,Sales_6
2024-02-17,Laptop,East,5,404.17,Sales_10
2024-12-10,Printer,South,10,534.03,Sales_1
2024-04-06,Laptop,West,13,1094.92,Sales_10
2024-12-05,Tablet,East,4,1492.03,Sales_4
2024-01-09,Tablet,East,5,991.03,Sales_8
2024-11-17,Smartphone,North,7,1139.11,Sales_1
2024-07-29,Keyboard,Central,4,94.7,Sales_5
2024-11-29,Printer,South,14,1422.85,Sales_9
2024-04-02,Laptop,Central,17,737.64,Sales_5
2024-04-25,Scanner,West,6,411.1,Sales_2
2024-11-18,Mouse,West,2,1498.28,Sales_4
2024-02-14,Scanner,North,15,1134.94,Sales_1
2024-05-14,Printer,South,11,157.46,Sales_10
2024-03-22,Mouse,Central,13,1139.86,Sales_4
2024-12-12,Keyboard,North,10,476.54,Sales_6
2024-09-25,Smartphone,North,12,824.11,Sales_2
2024-12-01,Mouse,North,17,1219.54,Sales_2
2024-05-01,Laptop,West,10,143.17,Sales_1
2024-12-10,Keyboard,West,14,460.44,Sales_4
2024-06-29,Keyboard,North,14,1076.45,Sales_3
2024-03-08,Keyboard,West,8,425.7,Sales_6
2024-08-12,Tablet,South,19,583.34,Sales_3
2024-09-03,Printer,North,2,1335.22,Sales_8
2024-05-20,Tablet,West,18,1202.74,Sales_4
2024-06-06,Tablet,Central,9,1372.72,Sales_7
2024-08-03,Keyboard,West,9,1042.18,Sales_9
2024-09-19,Scanner,West,2,1291.53,Sales_5
2024-12-01,Scanner,Central,16,1195.79,Sales_3
2024-05-08,Mouse,West,15,961.52,Sales_5
2024-06-18,Monitor,East,16,647.56,Sales_4
2024-12-17,Tablet,Central,20,965.35,Sales_6
2024-07-29,Smartphone,South,5,1449.39,Sales_1
2024-04-01,Printer,Central,19,1139.66,Sales_3
2024-09-18,Tablet,South,12,1179.47,Sales_9
2024-09-20,Smartphone,East,6,971.14,Sales_10
2024-12-09,Laptop,West,5,507.91,Sales_8
2024-06-27,Printer,North,3,1073.51,Sales_4
2024-04-05,Keyboard,East,17,1069.21,Sales_2
2024-04-10,Mouse,Central,6,666.84,Sales_1
2024-11-28,Laptop,Central,5,683.11,Sales_9
2024-06-06,Tablet,Central,6,532.01,Sales_4
2024-09-13,Scanner,East,15,1288.81,Sales_1
2024-01-12,Smartphone,South,19,100.97,Sales_7
2024-09-15,Smartphone,East,1,949.58,Sales_10
2024-01-17,Monitor,Central,3,535.92,Sales_8
2024-03-27,Monitor,Central,20,776.75,Sales_2
2024-02-06,Monitor,South,1,1024.33,Sales_6
2024-03-23,Monitor,West,3,1325.99,Sales_10
